tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;53292332#0_0;29.81;11.69;0.00;0.00;240384794_0;55.37;9.50;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;12.00;0.122.0;1;148.83;1.15;0.00;2.37;passenger;;0;0.00;63463.467285;922.064065;5.724571;26.826818;1.276648;0;27.279959
12.00;48484723_1;142.71;19.55;0.00;0.00;48484828#4_1;119.91;20.80;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;227.82;1.25;0.00;0.36;taxi;;0;0.00;27979.108296;195.972761;1.569604;10.403111;0.482099;0;12.026940
20.00;48484723_1;142.71;17.69;0.00;0.00;48484828#4_1;0.00;18.45;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;20.00;0.162.0;0;347.73;1.11;0.00;0.59;passenger;;0;0.00;49031.184914;300.666083;2.468569;18.098847;0.767790;0;21.076295
21.00;53292332#0_0;29.81;14.59;0.00;0.00;--199263543_0;37.19;15.10;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;187.73;1.36;0.00;9.12;passenger;;0;0.00;77314.593230;1347.513001;7.983745;33.095275;1.561999;0;33.234050
22.00;53283046#0_0;165.89;17.30;0.00;0.00;192483968#1_0;0.00;17.95;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;22.00;0.182.0;0;368.27;1.08;0.00;1.02;passenger;;0;0.00;66556.333267;462.891128;3.667462;25.094105;1.070351;0;28.609547
23.00;53283046#0_0;165.89;18.51;1.00;1.00;192483968#1_0;0.00;15.26;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;22.00;7.1132.0;0;368.27;1.13;0.00;2.38;taxi;;0;0.00;107317.971337;1306.077037;8.544175;44.357558;2.136731;0;46.130855
31.00;48484723_1;142.71;19.86;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;10.75;bus;;0;0.00;691949.476892;1015.620353;197.195132;5235.191398;109.257133;0;295.113004
33.00;28639939#0_0;139.89;16.83;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.24;0.00;13.84;passenger;;1;4.00;128192.238029;1975.581038;12.045774;53.668326;2.511379;0;55.104018
34.00;53281543_0;136.33;11.54;0.00;0.00;408074469#0_2;0.00;18.35;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;34.00;1.292.0;1;313.79;1.10;0.00;12.09;passenger;;1;5.00;86457.401303;1446.653214;8.641166;35.993865;1.644471;0;37.164272
35.00;53283046#0_1;165.89;19.72;6.00;6.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;10.61;bus;;0;0.00;685384.206589;1001.887666;192.255369;5181.106629;107.707460;0;292.311640
38.00;775830384_1;114.22;18.27;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;38.00;0.281.0;1;403.47;1.10;0.00;14.73;passenger;;1;6.00;146842.136128;2918.346440;16.805353;62.197161;2.994552;0;63.121151
39.00;775830384_1;114.22;19.21;4.00;4.00;53281545#2_0;0.00;4.79;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;35.00;6.1161.0;1;398.70;1.15;0.00;13.38;taxi;;0;0.00;143884.792514;2381.478279;14.251644;60.058031;2.811522;0;61.849698
39.00;28639939#0_0;139.89;15.29;5.00;5.00;53281545#2_0;0.00;1.25;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;34.00;6.1162.0;1;341.71;1.19;0.00;14.14;taxi;;1;1.00;148096.240907;2551.454271;15.104217;62.495381;2.929190;0;63.659994
40.00;-292382413_0;152.29;12.59;2.00;2.00;53281545#2_1;0.00;13.34;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;38.00;0.284.0;1;410.56;1.24;0.00;12.72;passenger;;1;3.00;134632.592493;2212.333462;13.305840;56.861649;2.714814;0;57.872437
40.00;37022128_0;106.30;19.45;3.00;3.00;53281545#2_0;0.00;8.95;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;37.00;0.285.0;1;390.07;1.23;0.00;16.48;passenger;;1;5.00;146964.918887;2887.839141;16.636323;62.038840;2.992837;0;63.173920
45.00;53292419_0;342.11;13.23;0.00;0.00;--199263543_0;76.94;7.86;vehroute_0.83.0 tripinfo_0.83.0 routing_0.83.0 emissions_0.83.0;45.00;0.83.0;1;507.61;1.28;0.00;11.27;passenger;;1;1.00;148574.036026;2272.564861;13.891244;62.095714;2.863139;0;63.865268
46.00;37022128_0;106.30;18.61;9.00;9.00;53281545#2_0;0.00;1.25;vehroute_6.1164.0 tripinfo_6.1164.0 routing_6.1164.0 emissions_6.1164.0;37.00;6.1164.0;1;397.92;1.19;0.00;15.60;taxi;;0;0.00;154128.480078;2619.326062;15.611686;64.797797;3.048531;0;66.252990
46.00;775830384_1;114.22;17.01;21.00;0.43;53281545#2_1;0.00;17.91;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;25.00;0.281.1;1;398.70;1.07;0.00;1.54;passenger;;0;0.00;68455.232091;679.986940;4.734901;27.189535;1.227624;0;29.425725
48.00;-292382413_0;152.29;12.62;7.00;7.00;53281545#2_0;0.00;1.25;vehroute_6.1163.0 tripinfo_6.1163.0 routing_6.1163.0 emissions_6.1163.0;41.00;6.1163.0;1;418.41;1.25;0.00;16.25;taxi;;1;1.00;163947.669586;2807.761454;16.686705;68.881746;3.181600;0;70.473899
53.00;53292418_0;332.16;11.64;1.00;1.00;--199263543_0;0.00;11.14;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;52.00;0.84.0;1;624.08;1.13;0.00;6.70;passenger;;0;0.00;150460.613198;1917.399038;12.267540;60.567638;2.588092;0;64.676400
55.00;-53292327_0;316.56;13.43;2.00;2.00;--199263543_0;0.00;7.57;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;53.00;0.85.0;1;679.97;1.24;0.00;8.84;passenger;;0;0.00;175347.755665;2258.842439;14.423484;71.464837;3.211861;0;75.374045
55.00;53283046#0_0;165.89;19.78;36.00;0.00;192483968#1_0;0.00;20.93;vehroute_0.182.1 tripinfo_0.182.1 routing_0.182.1 emissions_0.182.1;19.00;0.182.1;0;368.27;1.26;0.00;0.62;passenger;;0;0.00;54788.352600;443.701848;3.349931;20.797981;0.984129;0;23.550981
56.00;-37061736#7_0;33.63;11.63;0.00;0.00;583371595#1_0;48.27;19.01;vehroute_0.33.0 tripinfo_0.33.0 routing_0.33.0 emissions_0.33.0;56.00;0.33.0;1;882.74;1.14;0.00;7.48;passenger;;0;0.00;175347.334707;1910.879427;12.709724;69.825315;3.194390;0;75.373721
56.00;-49049137_0;228.40;13.05;3.00;3.00;--199263543_0;0.00;3.22;vehroute_0.86.0 tripinfo_0.86.0 routing_0.86.0 emissions_0.86.0;53.00;0.86.0;1;666.79;1.20;0.00;9.63;passenger;;0;0.00;193990.188366;2545.254737;15.998184;78.175393;3.462686;0;83.387761
56.00;775830384_0;114.22;8.31;0.00;0.00;-28639939#0_0;12.10;0.00;vehroute_2.250.0 tripinfo_2.250.0 routing_2.250.0 emissions_2.250.0;56.00;2.250.0;1;336.50;1.20;15.00;20.35;bus;;0;0.00;842005.245371;1485.282006;300.144040;6796.318106;156.042188;0;359.056833
56.00;53281543_0;136.33;13.24;22.00;22.00;408074469#0_0;12.10;0.00;vehroute_3.300.0 tripinfo_3.300.0 routing_3.300.0 emissions_3.300.0;34.00;3.300.0;1;301.69;1.20;0.00;14.08;bus;;0;0.00;630296.139466;1010.299256;201.834974;4912.087937;107.514280;0;268.801403
56.00;28639939#0_0;139.89;16.11;23.00;23.00;53281545#2_0;12.10;0.00;vehroute_2.350.0 tripinfo_2.350.0 routing_2.350.0 emissions_2.350.0;33.00;2.350.0;1;329.61;1.20;0.00;13.85;bus;;0;0.00;736508.488550;1117.659494;215.582875;5638.778863;119.482186;0;314.105907
59.00;50172050#0_0;132.31;12.97;0.00;0.00;192483968#1_1;124.19;20.18;vehroute_0.185.0 tripinfo_0.185.0 routing_0.185.0 emissions_0.185.0;59.00;0.185.0;1;1002.12;1.21;0.00;4.38;passenger;;0;0.00;172849.646297;1602.460441;11.253572;66.678178;2.985298;0;74.300206
63.00;-49030944#2_0;126.35;21.56;0.00;0.00;-47826546_0;0.00;14.38;vehroute_1.530.0 tripinfo_1.530.0 routing_1.530.0 emissions_1.530.0;63.00;1.530.0;1;772.29;1.29;0.00;12.75;passenger;;0;0.00;207518.679976;2824.022291;17.789045;84.870001;3.816207;0;89.202958
